forum,title,authors,authorids,keywords,abstract,pdf,match,venue,year,type
https://openreview.net/forum?id=zv4UISZzp5,{'value': 'IDGen: Item Discrimination Induced Prompt Generation for LLM Evaluation'},Fan Lin; Shuyi Xie; Yong Dai; Wenlin Yao; TianJiao Lang; Yu Zhang,~Fan_Lin2; ~Shuyi_Xie1; ~Yong_Dai1; ~Wenlin_Yao1; ~TianJiao_Lang1; ~Yu_Zhang21,"{'value': ['LLM', 'Data Generalization', 'Discrimination Indexes']}","{'value': 'As Large Language Models (LLMs) become more capable of handling increasingly complex tasks, the evaluation set must keep pace with these advancements to ensure it remains sufficiently discriminative. Item Discrimination (ID) theory, which is widely used in educational assessment, measures the ability of individual test items to differentiate between high and low performers. Inspired by this theory, we propose an ID-induced prompt synthesis framework for evaluating LLMs so that the evaluation set continually updates and refines according to model abilities. \nOur data synthesis framework prioritizes both breadth and specificity. It can generate prompts that comprehensively evaluate the capabilities of LLMs while revealing meaningful performance differences between models, allowing for effective discrimination of their relative strengths and weaknesses across various tasks and domains.\nTo produce high-quality data, we incorporate a self-correct mechanism into our generalization framework and develop two models to predict prompt discrimination and difficulty score to facilitate our data synthesis framework, contributing valuable tools to evaluation data synthesis research. We apply our generated data to evaluate five SOTA models. Our data achieves an average score of 51.92, accompanied by a variance of 10.06. By contrast, previous works (i.e., SELF-INSTRUCT and WizardLM) obtain an average score exceeding 67, with a variance below 3.2.\nThe results demonstrate that the data generated by our framework is more challenging and discriminative compared to previous works.\nWe will release a dataset of over 3,000 carefully crafted prompts to facilitate evaluation research of LLMs.'}",https://openreview.net{'value': '/pdf/74ed0078ffe00fb63ba32cc447f4540054349fbb.pdf'},{'abstract_filter': 'Data Synthesis'},NeurIPS.cc,2024,Conference
https://openreview.net/forum?id=ziYC4FHRNr,{'value': 'Entrywise error bounds for low-rank approximations of kernel matrices'},Alexander Modell,~Alexander_Modell1,"{'value': ['low-rank approximation', 'kernel methods', 'SVD', 'theory', 'error bounds']}","{'value': 'In this paper, we derive *entrywise* error bounds for low-rank approximations of kernel matrices obtained using the truncated eigen-decomposition (or singular value decomposition). While this approximation is well-known to be optimal with respect to the spectral and Frobenius norm error, little is known about the statistical behaviour of individual entries. Our error bounds fill this gap. A key technical innovation is a delocalisation result for the eigenvectors of the kernel matrix corresponding to small eigenvalues, which takes inspiration from the field of Random Matrix Theory. Finally, we validate our theory with an empirical study of a collection of synthetic and real-world datasets.'}",https://openreview.net{'value': '/pdf/b7d1213d226d72a537e0292965c1e860cf9010e7.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2024,Conference
https://openreview.net/forum?id=zcEPOB9rCR,{'value': 'Bridging Geometric States via Geometric Diffusion Bridge'},Shengjie Luo; Yixian Xu; Di He; Shuxin Zheng; Tie-Yan Liu; Liwei Wang,~Shengjie_Luo1; ~Yixian_Xu1; ~Di_He1; ~Shuxin_Zheng1; ~Tie-Yan_Liu1; ~Liwei_Wang1,"{'value': ['Bridging Geometric States', 'Generative Modeling', 'Geometric Deep Learning', 'Diffusion Bridge', ""Doob's h-transform"", 'Equivariance']}","{'value': ""The accurate prediction of geometric state evolution in complex systems is critical for advancing scientific domains such as quantum chemistry and material modeling. Traditional experimental and computational methods face challenges in terms of environmental constraints and computational demands, while current deep learning approaches still fall short in terms of precision and generality. In this work, we introduce the Geometric Diffusion Bridge (GDB), a novel generative modeling framework that accurately bridges initial and target geometric states. GDB leverages a probabilistic approach to evolve geometric state distributions, employing an equivariant diffusion bridge derived by a modified version of Doob's $h$-transform for connecting geometric states. This tailored diffusion process is anchored by initial and target geometric states as fixed endpoints and governed by equivariant transition kernels. Moreover, trajectory data can be seamlessly leveraged in our GDB framework by using a chain of equivariant diffusion bridges, providing a more detailed and accurate characterization of evolution dynamics. Theoretically, we conduct a thorough examination to confirm our framework's ability to preserve joint distributions of geometric states and capability to completely model the underlying dynamics inducing trajectory distributions with negligible error. Experimental evaluations across various real-world scenarios show that GDB surpasses existing state-of-the-art approaches, opening up a new pathway for accurately bridging geometric states and tackling crucial scientific challenges with improved accuracy and applicability.""}",https://openreview.net{'value': '/pdf/f266817fbebd23596b1820451d7726da8a9cd128.pdf'},{'abstract_filter': 'Trajectory'},NeurIPS.cc,2024,Conference
https://openreview.net/forum?id=zV2GDsZb5a,{'value': 'Neural Gaffer: Relighting Any Object via Diffusion'},Haian Jin; Yuan Li; Fujun Luan; Yuanbo Xiangli; Sai Bi; Kai Zhang; Zexiang Xu; Jin Sun; Noah Snavely,~Haian_Jin1; ~Yuan_Li13; ~Fujun_Luan2; ~Yuanbo_Xiangli1; ~Sai_Bi1; ~Kai_Zhang7; ~Zexiang_Xu1; ~Jin_Sun2; ~Noah_Snavely1,"{'value': ['relighting', 'single-image relighting', 'diffusion models', '3D relighting.']}","{'value': 'Single-image relighting is a challenging task that involves reasoning about the complex interplay between geometry, materials, and lighting. Many prior methods either support only specific categories of images, such as portraits, or require special capture conditions, like using a flashlight. Alternatively, some methods explicitly decompose a scene into intrinsic components, such as normals and BRDFs, which can be inaccurate or under-expressive. In this work, we propose a novel end-to-end 2D relighting diffusion model, called Neural Gaffer, that takes a single image of any object and can synthesize an accurate, high-quality relit image under any novel environmental lighting condition, simply by conditioning an image generator on a target environment map, without an explicit scene decomposition. Our method builds on a pre-trained diffusion model, and fine-tunes it on a synthetic relighting dataset, revealing and harnessing the inherent understanding of lighting present in the diffusion model. We evaluate our model on both synthetic and in-the-wild Internet imagery and demonstrate its advantages in terms of generalization and accuracy. Moreover, by combining with other generative methods, our model enables many downstream 2D tasks, such as text-based relighting and object insertion. Our model can also operate as a strong relighting prior for 3D tasks, such as relighting a radiance field.'}",https://openreview.net{'value': '/pdf/71a526cee2abe808ec8027770fd2ee1ce6e3a7fc.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2024,Conference
https://openreview.net/forum?id=zLU21oQjD5,{'value': 'DART-Math: Difficulty-Aware Rejection Tuning for Mathematical Problem-Solving'},Yuxuan Tong; Xiwen Zhang; Rui Wang; Ruidong Wu; Junxian He,~Yuxuan_Tong2; ~Xiwen_Zhang2; ~Rui_Wang1; ~Ruidong_Wu1; ~Junxian_He1,"{'value': ['Large Language Models', 'Mathematical Reasoning', 'Synthetic Data']}","{'value': 'Solving mathematical problems requires advanced reasoning abilities and presents notable challenges for large language models. Previous works usually synthesize data from proprietary models to augment existing datasets, followed by instruction tuning to achieve top-tier results. However, our analysis of these datasets reveals severe biases towards easy queries, with frequent failures to generate any correct response for the most challenging queries.\nHypothesizing that difficult queries are crucial to learning complex reasoning, we propose *Difficulty-Aware Rejection Tuning* (`DART`), a method that allocates difficult queries more trials during the synthesis phase, enabling more extensive training on difficult samples.\nUtilizing `DART`, we have created new datasets for mathematical problem-solving that focus more on difficult queries and are substantially smaller than previous ones. Remarkably, our synthesis process solely relies on a 7B-sized open-weight model, without reliance on the commonly used proprietary GPT-4.\nWe fine-tune various base models on our datasets ranging from 7B to 70B in size, resulting in a series of strong models called `DART-Math`.\nIn comprehensive in-domain and out-of-domain evaluation on 6 mathematical benchmarks, `DART-Math` outperforms vanilla rejection tuning significantly, being superior or comparable to previous arts, despite using much smaller datasets and no proprietary models. Furthermore, our results position our synthetic datasets as the most effective and cost-efficient publicly available resources for advancing mathematical problem-solving. Our datasets, models and code are publicly available at https://github.com/hkust-nlp/dart-math.'}",https://openreview.net{'value': '/pdf/26d6bf8a231686aaa5faf9277e38c2b2d934ff28.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2024,Conference
https://openreview.net/forum?id=zJremsKVyh,{'value': 'Marginal Causal Flows for Validation and Inference'},Daniel de Vassimon Manela; Laura Battaglia; Robin J. Evans,~Daniel_de_Vassimon_Manela1; ~Laura_Battaglia1; ~Robin_J._Evans2,"{'value': ['Causal Inference', 'Normalising Flows', 'Synthetic Data', 'Marginal Structural Models']}","{'value': 'Investigating the marginal causal effect of an intervention on an outcome from complex data remains challenging due to the inflexibility of employed models and the lack of complexity in causal benchmark datasets, which often fail to reproduce intricate real-world data patterns. In this paper we introduce Frugal Flows, a likelihood-based machine learning model that uses normalising flows to flexibly learn the data-generating process, while also directly targeting the marginal causal quantities inferred from observational data. We provide a novel algorithm for fitting a model to observational data with a parametrically specified causal distribution, and propose that these models are exceptionally well suited for synthetic data generation to validate causal methods. Unlike existing data generation methods, Frugal Flows generate synthetic data that closely resembles the empirical dataset, while also automatically and exactly satisfying a user-defined average treatment effect. To our knowledge, Frugal Flows are the first generative model to both learn flexible data representations and also \\textit{exactly} parameterise quantities such as the average treatment effect and the degree of unobserved confounding. We demonstrate the above with experiments on  both simulated and real-world datasets.'}",https://openreview.net{'value': '/pdf/5ca85bc9b90e258067e112db30bfa5eae96a4a2a.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2024,Conference
https://openreview.net/forum?id=zBMKodNgKX,{'value': 'FedNE: Surrogate-Assisted Federated Neighbor Embedding for Dimensionality Reduction'},Ziwei Li; Xiaoqi Wang; Hong-You Chen; Han Wei Shen; Wei-Lun Chao,~Ziwei_Li3; ~Xiaoqi_Wang2; ~Hong-You_Chen1; ~Han_Wei_Shen1; ~Wei-Lun_Chao1,"{'value': ['Federated Learning', 'Dimensionality Reduction', 'Unsupervised Learning', 'Representation Learning']}","{'value': 'Federated learning (FL) has rapidly evolved as a promising paradigm that enables collaborative model training across distributed participants without exchanging their local data. Despite its broad applications in fields such as computer vision, graph learning, and natural language processing, the development of a data projection model that can be effectively used to visualize data in the context of FL is crucial yet remains heavily under-explored. Neighbor embedding (NE) is an essential technique for visualizing complex high-dimensional data, but collaboratively learning a joint NE model is difficult. The key challenge lies in the objective function, as effective visualization algorithms like NE require computing loss functions among pairs of data. \nIn this paper, we introduce \\textsc{FedNE}, a novel approach that integrates the \\textsc{FedAvg} framework with the contrastive NE technique, without any requirements of shareable data. To address the lack of inter-client repulsion which is crucial for the alignment in the global embedding space, we develop a surrogate loss function that each client learns and shares with each other. Additionally, we propose a data-mixing strategy to augment the local data, aiming to relax the problems of invisible neighbors and false neighbors constructed by the local $k$NN graphs. We conduct comprehensive experiments on both synthetic and real-world datasets. The results demonstrate that our \\textsc{FedNE} can effectively preserve the neighborhood data structures and enhance the alignment in the global embedding space compared to several baseline methods.'}",https://openreview.net{'value': '/pdf/713ead3a7d3c84218a49bae4d46cdf7a3a34d042.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2024,Conference
https://openreview.net/forum?id=z6reLFqv6w,{'value': 'Learning diverse causally emergent representations from time series data'},David McSharry; Christos Kaplanis; Fernando E Rosas; Pedro A. M. Mediano,~David_McSharry1; ~Christos_Kaplanis2; ~Fernando_E_Rosas1; ~Pedro_A._M._Mediano1,"{'value': ['emergence', 'representation learning']}","{'value': 'Cognitive processes usually take place at a macroscopic scale in systems characterised by emergent properties, which make the whole ‘more than the sum of its parts.’ While recent proposals have provided quantitative, information-theoretic metrics to detect emergence in time series data, it is often highly non-trivial to identify the relevant macroscopic variables a priori. In this paper we leverage recent advances in representation learning and differentiable information estimators to put forward a data-driven method to find emergent variables. The proposed method successfully detects emergent variables and recovers the ground-truth emergence values in a synthetic dataset. Furthermore, we show the method can be extended to learn multiple independent features, extracting a diverse set of emergent quantities. We finally show that a modified method scales to real experimental data from primate brain activity, paving the ground for future analyses uncovering the emergent structure of cognitive representations in biological and artificial intelligence systems.'}",https://openreview.net{'value': '/pdf/8fbf255282581472847dd90c5114aca7f4d35e2d.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2024,Conference
https://openreview.net/forum?id=z4FaPUslma,{'value': 'Guiding Neural Collapse: Optimising Towards the Nearest Simplex Equiangular Tight Frame'},Evan Markou; Thalaiyasingam Ajanthan; Stephen Gould,~Evan_Markou1; ~Thalaiyasingam_Ajanthan1; ~Stephen_Gould1,"{'value': ['neural collapse', 'equiangular tight frames', 'Riemannian optimisation', 'deep learning']}","{'value': 'Neural Collapse (NC) is a recently observed phenomenon in neural networks that characterises the solution space of the final classifier layer when trained until zero training loss. Specifically, NC suggests that the final classifier layer converges to a Simplex Equiangular Tight Frame (ETF), which maximally separates the weights corresponding to each class. By duality, the penultimate layer feature means also converge to the same simplex ETF. Since this simple symmetric structure is optimal, our idea is to utilise this property to improve convergence speed. Specifically, we introduce the notion of \\textit{nearest simplex ETF geometry} for the penultimate layer features at any given training iteration, by formulating it as a Riemannian optimisation. Then, at each iteration, the classifier weights are implicitly set to the nearest simplex ETF by solving this inner-optimisation, which is encapsulated within a declarative node to allow backpropagation. Our experiments on synthetic and real-world architectures on classification tasks demonstrate that our approach accelerates convergence and enhances training stability.'}",https://openreview.net{'value': '/pdf/ac02c11fa162633bf19fadb27beddf13e3c58e97.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2024,Conference
https://openreview.net/forum?id=ylceJ2xIw5,{'value': 'Fair Wasserstein Coresets'},Zikai Xiong; Niccolo Dalmasso; Shubham Sharma; Freddy Lecue; Daniele Magazzeni; Vamsi K. Potluru; Tucker Balch; Manuela Veloso,~Zikai_Xiong1; ~Niccolo_Dalmasso1; ~Shubham_Sharma4; ~Freddy_Lecue1; ~Daniele_Magazzeni1; ~Vamsi_K._Potluru1; ~Tucker_Balch2; ~Manuela_Veloso1,"{'value': ['Algorithmic Fairness', 'Nonconvex Optimization', 'Coresets']}","{'value': ""Data distillation and coresets have emerged as popular approaches to generate a smaller representative set of samples for downstream learning tasks to handle large-scale datasets. At the same time, machine learning is being increasingly applied to decision-making processes at a societal level, making it imperative for modelers to address inherent biases towards subgroups present in the data. While current approaches focus on creating fair synthetic representative samples by optimizing local properties relative to the original samples, their impact on downstream learning processes has yet to be explored.  In this work, we present fair Wasserstein coresets ($\\texttt{FWC}$), a novel coreset approach which generates fair synthetic representative samples along with sample-level weights to be used in downstream learning tasks. $\\texttt{FWC}$ uses an efficient majority minimization algorithm to minimize the Wasserstein distance between the original dataset and the weighted synthetic samples while enforcing demographic parity. We show that an unconstrained version of $\\texttt{FWC}$ is equivalent to Lloyd's algorithm for k-medians and k-means clustering. Experiments conducted on both synthetic and real datasets show that $\\texttt{FWC}$:  (i) achieves a competitive fairness-performance tradeoff in downstream models compared to existing approaches, (ii) improves downstream fairness when added to the existing training data and (iii) can be used to reduce biases in predictions from large language models (GPT-3.5 and GPT-4).""}",https://openreview.net{'value': '/pdf/93985e308e0356a2b95c8e021f79d007aeda2429.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2024,Conference
